
Most frequent decisions by invserse order
RANK | DECISION ID | RELATOR | VIRTUAL | NUMBER OF OCCURANCES | TIMES REMOVED
 98   | ADI 4369  | MARCO AURÉLIO       | N | 5 | 2
 99   | ADI 144   | GILMAR MENDES       | N | 5 | 2
 100   | ADI 2031  | ELLEN GRACIE        | N | 5 | 2
 101   | RCL 7569  | ELLEN GRACIE        | N | 5 | 2
 102   | ADI 2225  | DIAS TOFFOLI        | N | 5 | 2
 103   | HC 85185  | CEZAR PELUSO        | N | 5 | 2
 104   | ADI 3847  | GILMAR MENDES       | N | 5 | 1
 105   | ADI 1691  | MOREIRA ALVES       | N | 5 | 0
 106   | ADI 2050  | MAURÍCIO CORRÊA     | N | 5 | 0
 107   | MS 24742  | MARCO AURÉLIO       | N | 5 | 0
 108   | RE 318644 | ILMAR GALVÃO        | S | 5 | 0
 109   | ADI 2732  | DIAS TOFFOLI        | N | 5 | 0
 110   | ADI 2220  | CÁRMEN LÚCIA        | N | 5 | 0
 111   | RE 313382 | MAURÍCIO CORRÊA     | N | 4 | 5
 112   | ADI 2847  | CARLOS VELLOSO      | N | 4 | 5
 113   | ADI 1901  | ILMAR GALVÃO        | N | 4 | 3
 114   | RE 347825 | ELLEN GRACIE        | N | 4 | 3
 115   | HC 81288  | MAURÍCIO CORRÊA     | N | 4 | 2
 116   | RE 420816 | CARLOS VELLOSO      | N | 4 | 2
 117   | ADI 1721  | CARLOS BRITTO       | N | 4 | 2
 118   | ADI 2242  | MOREIRA ALVES       | N | 4 | 1
 119   | RE 419075 | MARCO AURÉLIO       | N | 4 | 1
 120   | RE 305186 | ILMAR GALVÃO        | N | 4 | 1
 121   | RE 291188 | SEPÚLVEDA PERTENCE  | N | 4 | 0
 122   | HC 81409  | NELSON JOBIM        | S | 4 | 0
 123   | RE 381964 | GILMAR MENDES       | S | 4 | 0
 124   | HC 109956 | MARCO AURÉLIO       | N | 3 | 4
